district,week_start,week_end_sunday,iso_year,iso_week,imd_rain_mm,week_start_imd,nasa_prectotcorr,T2M_MAX,T2M_MIN,T2M,RH2M
Bagalkot,2017-09-11,2017-09-17,2017,37,49.89956900974114,2017-09-18,55.59,30.74714285714285,22.47571428571428,26.14428571428571,78.60714285714286
Bagalkot,2017-09-18,2017-09-24,2017,38,10.877369556162094,2017-09-25,42.51,29.81714285714286,21.805714285714288,25.12142857142857,80.1557142857143
Bagalkot,2017-09-25,2017-10-01,2017,39,87.59370230635007,2017-10-02,22.4,30.237142857142857,21.09142857142857,24.95,79.40142857142857
Bagalkot,2017-10-02,2017-10-08,2017,40,32.19647104541461,2017-10-09,77.65,29.732857142857146,21.40142857142857,25.18285714285714,80.87
Bagalkot,2017-10-09,2017-10-15,2017,41,86.79510192241933,2017-10-16,27.51,29.005714285714284,21.74857142857143,24.888571428571428,83.10571428571428
Bagalkot,2017-10-16,2017-10-22,2017,42,22.089104255040485,2017-10-23,62.4,28.972857142857144,21.574285714285715,24.858571428571427,83.43857142857142
Bagalkot,2017-10-23,2017-10-29,2017,43,5.817802664306429,2017-10-30,4.46,29.424285714285716,19.24,23.81857142857143,76.20428571428572
Bagalkot,2017-10-30,2017-11-05,2017,44,0.0,2017-11-06,4.93,28.967142857142857,18.372857142857143,23.035714285714285,77.78142857142858
Bagalkot,2017-11-06,2017-11-12,2017,45,0.0,2017-11-13,0.05,28.302857142857142,16.314285714285713,21.59,75.35571428571428
Bagalkot,2017-11-13,2017-11-19,2017,46,0.0,2017-11-20,0.01,29.29142857142857,15.412857142857144,21.61142857142857,66.25428571428571
Bagalkot,2017-11-20,2017-11-26,2017,47,1.4178558190663657,2017-11-27,0.65,30.375714285714285,17.47,23.592857142857145,70.59714285714286
Bagalkot,2017-11-27,2017-12-03,2017,48,0.0,2017-12-04,0.0,30.987142857142857,17.65285714285714,23.52857142857143,67.41571428571429
Bagalkot,2017-12-04,2017-12-10,2017,49,0.5924724572234683,2017-12-11,0.0,29.93,15.86,21.97142857142857,65.59285714285714
Bagalkot,2017-12-11,2017-12-17,2017,50,0.0,2017-12-18,4.8,31.035714285714285,16.708571428571428,23.122857142857143,64.36
Bagalkot,2017-12-18,2017-12-24,2017,51,0.0,2017-12-25,0.0,31.01,15.964285714285714,22.642857142857142,55.55428571428571
Bagalkot,2017-12-25,2017-12-31,2017,52,0.0,2018-01-01,0.0,30.66,12.961428571428572,20.782857142857143,46.30285714285714
Bagalkot,2018-01-01,2018-01-07,2018,1,0.0,2018-01-08,0.0,30.59714285714286,12.838571428571427,20.83285714285714,43.21857142857142
Bagalkot,2018-01-08,2018-01-14,2018,2,0.0,2018-01-15,1.75,30.524285714285718,13.631428571428572,21.587142857142855,40.642857142857146
Bagalkot,2018-01-15,2018-01-21,2018,3,0.0,2018-01-22,0.0,32.53,16.41857142857143,24.018571428571427,44.667142857142856
Bagalkot,2018-01-22,2018-01-28,2018,4,0.0,2018-01-29,0.0,31.99714285714285,14.864285714285714,22.96142857142857,32.56
Bagalkot,2018-01-29,2018-02-04,2018,5,0.0,2018-02-05,0.0,31.95714285714286,14.301428571428572,22.59714285714286,31.73
Bagalkot,2018-02-05,2018-02-11,2018,6,0.0,2018-02-12,0.0,33.29285714285714,13.594285714285714,22.854285714285712,21.512857142857143
Bagalkot,2018-02-12,2018-02-18,2018,7,0.0,2018-02-19,1.98,31.972857142857144,18.318571428571428,24.962857142857143,34.254285714285714
Bagalkot,2018-02-19,2018-02-25,2018,8,0.0,2018-02-26,0.0,33.902857142857144,17.745714285714286,25.49857142857143,32.221428571428575
Bagalkot,2018-02-26,2018-03-04,2018,9,0.0,2018-03-05,0.0,35.208571428571425,17.830000000000002,26.05,27.357142857142858
